folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-10_23-59-56_experiment-0,survival12,MLP,False,1,50,0.3,100,3,1.0,0.9437659937477136,0.9876197057952414,0.9757718613547665,,,,,,1.931385699542955
2025-4-11_8-7-45_experiment-0,survival12,MLP,False,2,100,0.1,20,3,1.0,0.9442508393638741,0.9871185370761248,0.974767185749063,,,,,,1.9313693764399988
2025-4-10_22-38-21_experiment-0,survival12,MLP,False,1,20,0.4,100,3,1.0,0.9439915768046858,0.9872725484410347,0.9749990339657637,,,,,,1.9312641252457206
2025-4-11_0-16-39_experiment-0,survival12,MLP,False,1,50,0.4,100,3,1.0,0.9434467880999237,0.9877697557896399,0.9760423509409173,,,,,,1.9312165438895637
2025-4-11_15-18-38_experiment-0,survival12,MLP,False,3,50,0.3,20,3,1.0,0.9436276079393242,0.9875822919541136,0.975655937246416,,,,,,1.931209899893438
2025-4-11_14-37-23_experiment-0,survival12,MLP,False,3,50,0.1,50,3,1.0,0.9439190507542068,0.9872838751651125,0.975076316704664,,,,,,1.9312029259193193
2025-4-11_22-6-51_experiment-0,survival12,MLP,False,4,20,0.1,20,3,1.0,0.943731564622237,0.9874536416002525,0.9754240890297152,,,,,,1.9311852062224895
2025-4-11_3-19-25_experiment-0,survival12,MLP,False,1,200,0.3,20,3,1.0,0.9436311686498129,0.9875510485923412,0.9756172958769659,,,,,,1.9311822172421542
2025-4-11_22-31-44_experiment-0,survival12,MLP,False,4,20,0.2,50,3,1.0,0.9434527583137504,0.9877030574581055,0.9759264268325669,,,,,,1.9311558157718558
2025-4-10_22-33-38_experiment-0,survival12,MLP,False,1,20,0.4,50,3,1.0,0.9441941089463897,0.9869543007583795,0.9743421306851114,,,,,,1.931148409704769
2025-4-11_2-10-8_experiment-0,survival12,MLP,False,1,100,0.5,50,3,1.0,0.9434515267898218,0.9876557793396727,0.9757718613547665,,,,,,1.9311073061294945
2025-4-12_1-4-1_experiment-0,survival12,MLP,False,4,50,0.3,20,3,1.0,0.9438922784948937,0.9872127793515896,0.9748831098574133,,,,,,1.9311050578464832
