folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-12_11-24-18_experiment-0,survival12,MLP,True,4,100,0.3,20,3,1.0,0.9271308630177006,0.9874006743301063,0.9753081649213649,,,,,,1.914531537347807
2025-4-11_1-19-38_experiment-0,survival12,MLP,True,1,100,0.0,20,3,1.0,0.9288696409433088,0.9854986330678712,0.9717145175625024,,,,,,1.91436827401118
2025-4-11_3-55-39_experiment-0,survival12,MLP,True,1,200,0.1,20,3,1.0,0.9288019874440245,0.9854526716346916,0.9716372348236022,,,,,,1.9142546590787162
2025-4-10_23-42-7_experiment-0,survival12,MLP,True,1,50,0.1,50,3,1.0,0.928133296723161,0.9859856496214742,0.9726032690598555,,,,,,1.9141189463446353
2025-4-11_12-41-19_experiment-0,survival12,MLP,True,2,100,0.5,50,3,1.0,0.9279367347952844,0.9861018413097248,0.9726419104293056,,,,,,1.9140385761050092
2025-4-10_21-37-22_experiment-0,survival12,MLP,True,1,20,0.0,100,3,1.0,0.9281190538812064,0.9857671674881723,0.9722168553653542,,,,,,1.9138862213693786
2025-4-11_11-47-18_experiment-0,survival12,MLP,True,2,100,0.3,50,3,1.0,0.927075578302219,0.9865877712031558,0.9737238687739094,,,,,,1.9136633495053748
2025-4-11_10-50-47_experiment-0,survival12,MLP,True,2,100,0.1,20,3,1.0,0.9263724049113604,0.9867030209629937,0.9739943583600603,,,,,,1.913075425874354
2025-4-12_9-21-38_experiment-0,survival12,MLP,True,4,50,0.5,50,3,1.0,0.9270593543130752,0.9859364886334661,0.9722941381042545,,,,,,1.9129958429465412
2025-4-12_16-45-0_experiment-0,survival12,MLP,True,4,200,0.5,20,3,1.0,0.9270374546049571,0.985628296374723,0.9716758761930523,,,,,,1.9126657509796803
2025-4-11_20-59-59_experiment-0,survival12,MLP,True,3,50,0.5,50,3,1.0,0.9253785115566204,0.987091188161675,0.9746512616407126,,,,,,1.9124696997182955
2025-4-12_7-6-30_experiment-0,survival12,MLP,True,4,50,0.0,20,3,1.0,0.9260223040763228,0.9859467162820157,0.9725646276904053,,,,,,1.9119690203583386
2025-4-12_16-1-33_experiment-0,survival12,MLP,True,4,200,0.4,20,3,1.0,0.9250036999262371,0.9868751964790947,0.974187565207311,,,,,,1.911878896405332
2025-4-11_6-14-54_experiment-0,survival12,MLP,True,2,20,0.0,50,3,1.0,0.9252854511832482,0.9864691358024692,0.9735306619266587,,,,,,1.9117545869857175
2025-4-12_10-14-28_experiment-0,survival12,MLP,True,4,100,0.1,20,3,1.0,0.9246724467617561,0.9866682490703379,0.9739557169906101,,,,,,1.911340695832094
2025-4-11_8-37-14_experiment-0,survival12,MLP,True,2,50,0.1,50,3,1.0,0.9250876041869245,0.9856843437339344,0.9720236485181035,,,,,,1.910771947920859
2025-4-11_20-34-10_experiment-0,survival12,MLP,True,3,50,0.4,50,3,1.0,0.9240140365884688,0.9865262992497151,0.9734920205572085,,,,,,1.910540335838184
2025-4-10_23-22-46_experiment-0,survival12,MLP,True,1,50,0.0,50,3,1.0,0.9243758904453447,0.9858559519576469,0.9723327794737046,,,,,,1.9102318424029916
2025-4-12_8-53-49_experiment-0,survival12,MLP,True,4,50,0.4,50,3,1.0,0.9229807612402796,0.9869004274180783,0.9744194134240117,,,,,,1.9098811886583578
2025-4-11_2-34-24_experiment-0,survival12,MLP,True,1,100,0.3,100,3,1.0,0.9239668638675591,0.9855772084281333,0.9718304416708529,,,,,,1.9095440722956925
2025-4-11_2-5-17_experiment-0,survival12,MLP,True,1,100,0.2,50,3,1.0,0.9231446877840537,0.9861177028951117,0.9728737586460064,,,,,,1.9092623906791655
2025-4-11_9-51-26_experiment-0,survival12,MLP,True,2,50,0.4,100,3,1.0,0.9219588908745577,0.9868771583621115,0.9743034893156614,,,,,,1.9088360492366694
2025-4-12_8-26-20_experiment-0,survival12,MLP,True,4,50,0.3,50,3,1.0,0.9217715386038845,0.987044136439595,0.9745353375323621,,,,,,1.9088156750434795
2025-4-12_12-41-27_experiment-0,survival12,MLP,True,4,100,0.5,50,3,1.0,0.9227270673110285,0.9859713147723037,0.9723714208431546,,,,,,1.9086983820833323
2025-4-11_21-48-28_experiment-0,survival12,MLP,True,3,100,0.1,20,3,1.0,0.921451369154759,0.9868553695321303,0.9743034893156614,,,,,,1.9083067386868893
2025-4-12_0-1-41_experiment-0,survival12,MLP,True,3,100,0.5,50,3,1.0,0.9217392780314121,0.9865048028758325,0.9734533791877584,,,,,,1.9082440809072447
2025-4-11_10-13-52_experiment-0,survival12,MLP,True,2,50,0.5,100,3,1.0,0.9214639253443769,0.9866861567635904,0.9739557169906101,,,,,,1.9081500821079673
2025-4-11_19-41-47_experiment-0,survival12,MLP,True,3,50,0.2,50,3,1.0,0.9215880415385524,0.9858653046680128,0.9724100622126048,,,,,,1.9074533462065653
2025-4-12_13-50-15_experiment-0,survival12,MLP,True,4,200,0.1,20,3,1.0,0.9204773140441703,0.9866503174257856,0.97391707562116,,,,,,1.907127631469956
2025-4-12_1-3-33_experiment-0,survival12,MLP,True,3,200,0.1,20,3,1.0,0.9210930224638532,0.9858230350963915,0.9722941381042545,,,,,,1.9069160575602446
2025-4-11_13-33-35_experiment-0,survival12,MLP,True,2,200,0.1,20,3,1.0,0.9209011189090968,0.9855026601530824,0.9716758761930523,,,,,,1.9064037790621793
2025-4-11_5-2-58_experiment-0,survival12,MLP,True,1,200,0.3,100,3,1.0,0.9214755980494375,0.9847719756826868,0.9702847868928475,,,,,,1.9062475737321243
2025-4-11_16-1-23_experiment-0,survival12,MLP,True,2,200,0.5,50,3,1.0,0.9195382235042446,0.9863024466935246,0.9730669654932571,,,,,,1.9058406701977693
2025-4-11_8-13-33_experiment-0,survival12,MLP,True,2,50,0.0,20,3,1.0,0.9195496552589713,0.986150680595125,0.9729510413849067,,,,,,1.9057003358540963
2025-4-11_20-7-43_experiment-0,survival12,MLP,True,3,50,0.3,50,3,1.0,0.9181817802138869,0.9869858421737588,0.974496696162912,,,,,,1.9051676223876457
2025-4-11_15-26-12_experiment-0,survival12,MLP,True,2,200,0.4,50,3,1.0,0.918947252652167,0.9861671356329076,0.9728351172765562,,,,,,1.9051143882850745
2025-4-12_7-59-47_experiment-0,survival12,MLP,True,4,50,0.2,50,3,1.0,0.9183231377430601,0.9867645028305423,0.9740716410989605,,,,,,1.9050876405736024
2025-4-11_3-31-33_experiment-0,survival12,MLP,True,1,200,0.0,20,3,1.0,0.920404252548505,0.9846489488298295,0.9700915800455968,,,,,,1.9050532013783346
2025-4-11_0-8-25_experiment-0,survival12,MLP,True,1,50,0.2,100,3,1.0,0.918758454679491,0.9862623786839557,0.9731442482321574,,,,,,1.9050208333634466
2025-4-12_4-0-32_experiment-0,survival12,MLP,True,3,200,0.5,50,3,1.0,0.9189653239272034,0.9859757173959948,0.9723714208431546,,,,,,1.9049410413231982
2025-4-11_14-49-55_experiment-0,survival12,MLP,True,2,200,0.3,50,3,1.0,0.9188859441783401,0.9859872108628721,0.9725646276904053,,,,,,1.9048731550412121
2025-4-12_4-40-22_experiment-0,survival12,MLP,True,4,20,0.0,50,3,1.0,0.9179926074295802,0.985967751485129,0.9725259863209552,,,,,,1.9039603589147092
2025-4-11_23-29-14_experiment-0,survival12,MLP,True,3,100,0.4,50,3,1.0,0.9163516821117617,0.9868907960003149,0.9742648479462113,,,,,,1.9032424781120767
2025-4-12_12-5-1_experiment-0,survival12,MLP,True,4,100,0.4,50,3,1.0,0.9164834551721006,0.9863164300999274,0.9730669654932571,,,,,,1.902799885272028
2025-4-12_16-7-37_experiment-0,survival12,MLP,True,4,200,0.4,50,3,1.0,0.9157134849942559,0.9862954527605435,0.9730283241238069,,,,,,1.9020089377547995
2025-4-11_4-27-10_experiment-0,survival12,MLP,True,1,200,0.2,50,3,1.0,0.9167568267119468,0.9852495693666223,0.9712121797596507,,,,,,1.9020063960785691
2025-4-11_12-22-5_experiment-0,survival12,MLP,True,2,100,0.4,100,3,1.0,0.9151013908295802,0.9863310486094697,0.9731828896016075,,,,,,1.9014324394390498
2025-4-11_16-34-52_experiment-0,survival12,MLP,True,3,20,0.0,50,3,1.0,0.9144507713837532,0.986232741617357,0.9730283241238069,,,,,,1.9006835130011102
2025-4-11_9-6-36_experiment-0,survival12,MLP,True,2,50,0.2,100,3,1.0,0.9144154855459784,0.9860134334255236,0.9726419104293056,,,,,,1.900428918971502
2025-4-11_1-43-16_experiment-0,survival12,MLP,True,1,100,0.1,50,3,1.0,0.9150677113273643,0.98533515406994,0.9713667452374513,,,,,,1.9004028653973042
2025-4-11_18-49-20_experiment-0,survival12,MLP,True,3,50,0.0,20,3,1.0,0.91363512773152,0.9864600423000138,0.9735306619266587,,,,,,1.9000951700315338
2025-4-12_11-29-33_experiment-0,survival12,MLP,True,4,100,0.3,50,3,1.0,0.9140781818508926,0.9858961533180328,0.9722168553653542,,,,,,1.8999743351689253
2025-4-11_11-20-36_experiment-0,survival12,MLP,True,2,100,0.2,50,3,1.0,0.912813835132572,0.9864387374405338,0.9734533791877584,,,,,,1.8992525725731058
2025-4-12_6-3-2_experiment-0,survival12,MLP,True,4,20,0.3,100,3,1.0,0.913021025647396,0.985435656179555,0.971289462498551,,,,,,1.8984566818269508
2025-4-11_21-7-43_experiment-0,survival12,MLP,True,3,50,0.5,100,3,1.0,0.9111840738468867,0.9870867259428662,0.9746899030101627,,,,,,1.8982707997897528
2025-4-11_14-14-1_experiment-0,survival12,MLP,True,2,200,0.2,50,3,1.0,0.9121084931887088,0.985705824284304,0.9720236485181035,,,,,,1.8978143174730127
2025-4-11_19-15-58_experiment-0,survival12,MLP,True,3,50,0.1,50,3,1.0,0.910838149484302,0.9862449779325905,0.9731442482321574,,,,,,1.8970831274168924
2025-4-12_7-32-51_experiment-0,survival12,MLP,True,4,50,0.1,50,3,1.0,0.9106227398858688,0.9863305941845765,0.9732601723405078,,,,,,1.8969533340704454
2025-4-11_22-56-46_experiment-0,survival12,MLP,True,3,100,0.3,50,3,1.0,0.9099032889613478,0.9865056259343772,0.9734920205572085,,,,,,1.896408914895725
2025-4-12_3-17-42_experiment-0,survival12,MLP,True,3,200,0.4,50,3,1.0,0.9100142867484599,0.9860288057768534,0.9724873449515051,,,,,,1.8960430925253133
2025-4-11_10-54-40_experiment-0,survival12,MLP,True,2,100,0.1,50,3,1.0,0.9101000918395585,0.985807471832378,0.9722554967348043,,,,,,1.8959075636719365
2025-4-12_8-34-15_experiment-0,survival12,MLP,True,4,50,0.3,100,3,1.0,0.9098403473797024,0.9859506588724859,0.9726032690598555,,,,,,1.8957910062521883
