folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-13_5-54-35_experiment-0,survival12,MLP,True,3,200,0.5,50,1,1.0,0.8324308858252092,0.7077445569773789,0.764040542525584,,,,,,1.540175442802588
2025-4-13_9-28-19_experiment-0,survival12,MLP,True,4,50,0.5,20,1,1.0,0.8361409615093391,0.7040137897069687,0.764579150957254,,,,,,1.5401547512163078
2025-4-12_23-36-48_experiment-0,survival60,MLP,True,2,50,0.3,100,1,1.0,0.9045657360159978,0.6354574581701673,0.8950927159102551,,,,,,1.540023194186165
2025-4-12_17-13-35_experiment-0,survival12,MLP,True,2,50,0.1,20,1,1.0,0.8341522554532941,0.7058608058608058,0.764089506928463,,,,,,1.5400130613140999
2025-4-12_22-37-33_experiment-0,survival12,MLP,True,3,20,0.0,100,1,1.0,0.8270768970821463,0.7129183758397243,0.7635508984967928,,,,,,1.5399952729218707
2025-4-13_6-17-20_experiment-0,survival12,MLP,True,4,20,0.0,20,1,1.0,0.8370735713238807,0.7028998948865393,0.7647260441658914,,,,,,1.5399734662104199
2025-4-12_15-40-11_experiment-0,survival12,MLP,True,2,20,0.1,20,1,1.0,0.8371754671034788,0.7027798461156615,0.765460510209078,,,,,,1.5399553132191404
2025-4-13_10-0-58_experiment-0,survival60,MLP,True,3,200,0.2,20,1,1.0,0.9053323851467483,0.6346119214838826,0.8960659768466346,,,,,,1.5399443066306309
2025-4-12_21-22-32_experiment-0,survival60,MLP,True,2,20,0.0,50,1,1.0,0.9023162107455717,0.637609841827768,0.8943755762729229,,,,,,1.5399260525733398
2025-4-12_15-47-2_experiment-0,survival12,MLP,True,2,20,0.1,100,1,1.0,0.8336684331004005,0.7062413978816349,0.7596337462664643,,,,,,1.5399098309820354
2025-4-13_10-43-54_experiment-0,survival12,MLP,True,4,100,0.2,20,1,1.0,0.8361348310120384,0.7037264789078833,0.764089506928463,,,,,,1.5398613099199219
2025-4-12_15-58-2_experiment-0,survival12,MLP,True,2,20,0.2,50,1,1.0,0.8363964313591249,0.7034185401909456,0.7642364001371004,,,,,,1.5398149715500704
2025-4-13_0-54-16_experiment-0,survival12,MLP,True,3,50,0.3,20,1,1.0,0.837938959919013,0.7018541409147095,0.7637957205111884,,,,,,1.5397931008337227
2025-4-12_8-32-14_experiment-0,survival12,MLP,True,1,20,0.0,50,1,1.0,0.8340691650593792,0.7056506216914933,0.7658522254321108,,,,,,1.5397197867508725
2025-4-13_8-31-59_experiment-0,survival12,MLP,True,4,50,0.2,50,1,1.0,0.8321028969156149,0.7076048157783291,0.7633550408852764,,,,,,1.539707712693944
2025-4-12_16-26-59_experiment-0,survival12,MLP,True,2,20,0.4,20,1,1.0,0.8374913216212756,0.7021302795222263,0.7631102188708808,,,,,,1.539621601143502
2025-4-13_2-23-59_experiment-0,survival12,MLP,True,3,100,0.2,20,1,1.0,0.8343009845315721,0.7052368469182467,0.7632571120795182,,,,,,1.539537831449819
2025-4-12_15-42-28_experiment-0,survival12,MLP,True,2,20,0.1,50,1,1.0,0.8358155192638339,0.7034465810653069,0.763648827302551,,,,,,1.539262100329141
2025-4-12_23-1-2_experiment-0,survival60,MLP,True,2,50,0.1,50,1,1.0,0.900939189565799,0.638245179550681,0.8952463886896834,,,,,,1.5391843691164802
2025-4-13_2-47-14_experiment-0,survival12,MLP,True,3,100,0.3,50,1,1.0,0.8310111912009104,0.7081513828238719,0.7643832933457376,,,,,,1.5391625740247823
2025-4-13_1-29-11_experiment-0,survival12,MLP,True,3,50,0.5,20,1,1.0,0.8385572393187406,0.7005692124851441,0.7656074034177153,,,,,,1.5391264518038847
2025-4-13_16-23-59_experiment-0,survival60,MLP,True,4,100,0.1,50,1,1.0,0.885141632428363,0.6539564703897418,0.8949390431308267,,,,,,1.5390981028181048
2025-4-12_9-44-31_experiment-0,survival12,MLP,True,1,20,0.5,20,1,1.0,0.8371613460215312,0.7018858498813538,0.7662439406551437,,,,,,1.539047195902885
2025-4-13_20-20-31_experiment-0,survival60,MLP,True,4,200,0.4,100,1,1.0,0.8944960574730109,0.6443235655378136,0.8961684253662534,,,,,,1.5388196230108244
2025-4-13_6-19-37_experiment-0,survival12,MLP,True,4,20,0.0,50,1,1.0,0.8343682739217216,0.7044310789247575,0.7641874357342212,,,,,,1.5387993528464792
2025-4-13_0-36-50_experiment-0,survival12,MLP,True,3,50,0.2,20,1,1.0,0.8357764428215481,0.7030168150346193,0.7647750085687705,,,,,,1.5387932578561674
2025-4-13_4-12-23_experiment-0,survival60,MLP,True,3,20,0.0,100,1,1.0,0.8981411292570091,0.6406413384454513,0.8943755762729229,,,,,,1.5387824677024604
2025-4-13_9-8-35_experiment-0,survival12,MLP,True,4,50,0.4,50,1,1.0,0.8361682054588206,0.7024747255473547,0.7651177593889242,,,,,,1.5386429310061753
2025-4-12_16-11-17_experiment-0,survival12,MLP,True,2,20,0.3,20,1,1.0,0.8373709905257278,0.7012119713084344,0.7634040052881556,,,,,,1.5385829618341622
2025-4-13_3-13-53_experiment-0,survival12,MLP,True,3,100,0.4,100,1,1.0,0.8270184698882536,0.7115509218354243,0.7602213191010135,,,,,,1.5385693917236778
2025-4-12_22-8-39_experiment-0,survival12,MLP,True,2,200,0.5,20,1,1.0,0.8363947368292912,0.7020958083832335,0.7661460118493855,,,,,,1.5384905452125248
2025-4-13_19-10-15_experiment-0,survival60,MLP,True,4,200,0.2,50,1,1.0,0.8882216481266985,0.6502157031924073,0.8961684253662534,,,,,,1.5384373513191059
